fecha;defunciones_notificadas;defunciones_observadas;defunciones_estimadas_base;exceso_todas_causas;atribuibles_temperatura
2025-39;7605;7605;7536;69;63
2025-38;7508;7508;7520;-11;46
2025-37;7539;7539;7522;17;29
2025-36;7715;7715;7538;177;35
2025-35;7836;7836;7565;272;62
2025-34;8370;8370;7598;772;865
2025-33;8539;8539;7634;905;936
2025-32;7864;7864;7669;195;303
2025-31;7664;7664;7698;-34;36
2025-30;7792;7792;7720;72;135
2025-29;8015;8015;7737;278;141
2025-28;8092;8092;7751;341;225
2025-27;8872;8872;7763;1109;610
2025-26;8339;8338;7776;562;199
2025-25;8226;8226;7791;435;96
2025-24;8033;8033;7810;223;33
2025-23;8166;8166;7834;331;9
2025-22;8298;8298;7866;431;10
2025-21;8151;8151;7908;243;1
2025-20;8117;8117;7959;158;0
2025-19;7910;7910;8021;-112;1
2025-18;8048;8048;8093;-45;7
2025-17;8246;8246;8174;72;1
2025-16;7989;7989;8264;-275;2
2025-15;8596;8596;8363;233;2
2025-14;8879;8879;8469;410;6
2025-13;8570;8570;8583;-13;11
2025-12;8837;8837;8704;133;63
2025-11;8777;8776;8831;-55;12
2025-10;8762;8762;8963;-201;15
2025-09;9028;9028;9098;-70;10
2025-08;9223;9223;9231;-8;0
2025-07;9665;9665;9356;309;129
2025-06;9533;9533;9467;66;175
2025-05;10027;10027;9560;467;19
2025-04;10446;10446;9627;818;450
2025-03;10578;10578;9664;915;496
2025-02;10865;10865;9663;1202;150
2025-01;9952;9952;9673;279;285
2024-52;9359;9359;9722;-363;169
2024-51;9383;9383;9590;-207;194
2024-50;8618;8618;9416;-798;100
2024-49;8344;8344;9216;-872;2
2024-48;8315;8315;8999;-685;3
2024-47;8120;8120;8776;-657;1
2024-46;7987;7986;8556;-570;6
2024-45;8106;8106;8346;-240;0
2024-44;8216;8214;8153;61;0
2024-43;7870;7870;7984;-114;2
2024-42;7745;7745;7844;-99;3
2024-41;7717;7717;7738;-21;10
2024-40;7687;7687;7665;23;12
2024-39;7469;7468;7619;-151;8
2024-38;7444;7444;7596;-152;12
2024-37;7251;7251;7592;-341;3
2024-36;7183;7183;7604;-422;6
2024-35;7477;7477;7628;-151;35
2024-34;7426;7424;7659;-234;71
2024-33;7832;7831;7693;137;477
2024-32;8329;8329;7728;601;377
2024-31;8435;8435;7757;678;512
2024-30;7998;7998;7781;217;310
2024-29;7962;7961;7800;161;80
2024-28;7988;7988;7815;173;49
2024-27;7715;7715;7830;-114;37
2024-26;7928;7928;7845;83;9
2024-25;7788;7788;7862;-73;1
2024-24;7690;7690;7883;-193;12
2024-23;8088;8087;7910;177;9
2024-22;8048;8048;7944;104;0
2024-21;7950;7950;7988;-38;0
2024-20;7842;7842;8042;-200;3
