A,B,C
59,0.2473667676305744,49
75,0.17984269094659322,86
93,0.09857140683645349,3
61,0.29701349137496513,68
45,0.3344195026293467,76
10,0.03332747740111175,77
57,0.8956225179045846,59
2,0.6403487467758865,22
89,0.7673711566839714,89
11,0.36468581424517177,54
1,0.46756670060024963,51
73,0.3169727014683704,86
18,0.6103202188863134,16
43,0.8379337039192292,75
75,0.3206835288715618,49
17,0.18028995001358727,77
83,0.6668663563017899,80
35,0.3708867763795818,41
48,0.42395548996585375,72
57,0.707624544981361,94
6,0.2860337296329466,32
81,0.14163534929662436,4
64,0.17583089571437482,61
24,0.363063341102432,73
85,0.9231874517195658,67
53,0.2414621646202103,53
19,0.7522804440106112,29
88,0.29010494641233353,67
77,0.6773583205044077,77
11,0.477162276652075,62
57,0.8270082380189263,9
46,0.8333971867757384,42
51,0.6862310236856095,17
20,0.4231857749630885,55
59,0.11344861884366264,7
11,0.7727496406430326,43
3,0.13238547741995632,78
60,0.6239255519820899,52
88,0.22294645408443348,65
39,0.11115256946957097,54
73,0.15014480112156658,45
37,0.021565206259303582,30
22,0.19379720808101142,17
42,0.02079191674702785,79
77,0.3662845853738935,42
76,0.11095240127203299,39
63,0.662247757866648,17
41,0.21887636652507092,73
16,0.49084009303098797,20
76,0.04673949348733697,81
49,0.28462029824754975,51
99,0.3838071627434325,65
68,0.9377987065649921,44
99,0.5190254624460607,68
5,0.5338840959734898,10
35,0.2898974315992683,24
77,0.03895237241298244,99
43,0.31950861705925815,2
95,0.26055667367417157,79
40,0.7565035360479002,96
11,0.8444550303582296,75
91,0.4701599812146977,17
44,0.7550900704446011,8
17,0.4419890676456194,56
90,0.9460145715758457,22
3,0.2702004701900744,68
61,0.7036618577789627,60
83,0.4020006853303607,97
9,0.8630588489116798,94
65,0.8543201096264079,85
8,0.5638941615655015,97
69,0.32243241183085536,39
45,0.9420604611629758,67
5,0.910202822640216,69
64,0.985068830064518,91
25,0.5090572687426083,83
50,0.26767683265057085,50
53,0.809135935628431,7
33,0.875551440829208,26
45,0.42487140913547816,8
12,0.5430401431994263,95
11,0.06991796461647759,35
54,0.7083096050721751,27
31,0.6932439540253482,30
33,0.0032992620238490034,33
38,0.9485559055249848,55
94,0.7093246743071617,38
30,0.7581052821762043,61
30,0.7753497883725211,78
18,0.7986716803791561,33
10,0.14139997866919984,14
67,0.09987819146270782,96
1,0.9560475208974151,18
65,0.7754310439426881,61
93,0.5117100484158987,37
42,0.9494092838336711,54
24,0.45687322166852706,22
64,0.1112785188139388,62
79,0.41887743014377776,92
87,0.4959478258493941,50
45,0.04077150017301501,99
22,0.8962747726414912,75
20,0.37186068619428436,15
19,0.747662631069978,46
38,0.14908771515974828,30
33,0.5799320929204503,74
71,0.14680974876114838,92
22,0.8604397587693905,75
59,0.6881620482283637,51
49,0.7869531763629003,91
78,0.42904043479841714,32
62,0.8604692293324625,6
70,0.14625629797897877,28
52,0.46365340024215773,32
84,0.11171610507822827,27
92,0.8309322438007611,70
97,0.5604454193804081,38
76,0.15441315776097053,63
98,0.8837500773555328,86
71,0.018183775316068074,81
10,0.8515970166554273,28
40,0.2327652536699394,98
86,0.817787832544497,90
10,0.43380023226615716,37
62,0.4842990718725013,59
95,0.5894865363731465,38
20,0.909154577881631,63
84,0.7367159275764161,86
11,0.7361450932476153,87
34,0.07650417363511419,32
83,0.9358946049373784,86
27,0.15888080829504103,55
75,0.9294731330110523,86
20,0.8532482854275558,60
72,0.44875203229428606,19
1,0.1162463616787609,25
31,0.8201358435298873,27
70,0.7397311121382254,27
56,0.11363446125930221,44
19,0.19944213954015955,65
92,0.8167207364087454,69
66,0.1037425141138908,2
55,0.19318722487629292,84
39,0.5084868795330768,95
67,0.6500257826824418,79
27,0.16122329730475393,96
64,0.8309651978699067,64
64,0.3488709479947836,51
17,0.06416834491922929,58
18,0.18957304774852024,40
32,0.13857864742924053,48
20,0.4388834909669729,79
72,0.1494036430082759,84
7,0.9317481655529364,19
32,0.4508284589691559,81
55,0.2511829027247755,79
1,0.5661099282282316,83
79,0.5499262697414972,50
77,0.5702625488807093,16
94,0.6331208517625595,39
36,0.3050592173340445,31
83,0.9075326808899921,23
21,0.17745279217513366,36
48,0.5567354530406605,81
73,0.020994713966428935,3
98,0.016171278470673345,10
71,0.06331483267930271,83
92,0.8393318580558377,38
40,0.3628542457258085,76
15,0.049674458674479394,40
88,0.11924937107367262,48
40,0.4836796374937087,65
28,0.3959446720641353,54
27,0.446431512746459,86
28,0.2850073190427035,67
85,0.8085789576420941,23
71,0.07102033084203674,63
45,0.8924526135287542,3
81,0.7441036260534462,97
14,0.5998325343243379,22
43,0.4394621084149868,45
19,0.8071974666892663,26
96,0.045511974521091125,13
54,0.6935089582380536,76
3,0.8766653689521033,35
93,0.18167041492782077,30
78,0.2486243565246571,84
64,0.33809314912956634,3
10,0.782544661693491,66
73,0.8902101183759372,51
55,0.6325427302999371,65
77,0.768557853587984,90
14,0.5311047381238916,29
50,0.31971779670139455,45
17,0.20280672048189274,29
41,0.9273216516153627,40
64,0.3723293923247495,8
45,0.9777489410036914,10
55,0.0060068986013182,33
90,0.9843249571943655,75
62,0.8252940459473622,71
65,0.3564853986946046,15
10,0.8622567518936446,53
19,0.6683771303930401,11
52,0.16172426546214191,16
70,0.708209775160085,34
22,0.24802270953762506,2
4,0.8247266854179516,14
24,0.49285260279048815,62
8,0.2794164614500958,67
78,0.22179519263714542,79
92,0.12900867057288734,73
92,0.5916311763393615,48
49,0.7187060745034387,57
72,0.307803286518072,94
76,0.35580405478784893,39
93,0.011815356889972595,16
4,0.7445677658042789,63
71,0.8216244997787595,60
20,0.3929636426682761,40
2,0.9351181706847521,70
37,0.9730617360308136,63
70,0.4702162155850209,77
93,0.07110147673022194,64
53,0.8289003806253011,75
42,0.33964017619055475,12
10,0.6326072096973623,59
92,0.8659714554128771,85
30,0.8021404405481214,11
25,0.5990778605027912,15
98,0.5477322043598499,31
37,0.1649989984444843,27
13,0.26559485166648134,24
44,0.7821258978335025,21
39,0.7566537623632437,5
95,0.2245675402766394,86
79,0.4524419098739001,82
11,0.8642033215682464,96
34,0.14563702895106223,42
10,0.03593596866186943,57
45,0.7830592132767566,91
43,0.8865925761034849,14
36,0.017803024501234277,55
92,0.3760991411660889,80
75,0.7423180457893823,19
37,0.6970136841407462,82
83,0.15775693570118798,6
41,0.8529085354622724,64
67,0.9735863014373682,60
56,0.31276408828500724,8
76,0.5350891350242148,98
31,0.3957375501624991,47
91,0.5369000483226414,98
14,0.9427242306986883,32
80,0.4636818938695223,60
62,0.7575251614077371,99
68,0.8832546079873725,4
12,0.9213530729262003,31
5,0.8967489294889126,98
8,0.5622527777872282,88
56,0.24059836268517232,15
80,0.33354768427970727,17
90,0.31635872130694553,23
78,0.9217161047123079,44
92,0.16137271083066163,66
22,0.5131992201398365,84
16,0.7258927998458594,82
24,0.046665554092943595,4
17,0.0965741729926547,74
75,0.1518157274202101,12
47,0.9604242284711081,76
68,0.7221890629941845,1
64,0.7622174368909835,17
87,0.0678741385923296,63
66,0.6717159595364275,26
78,0.9480644245510927,59
91,0.9535649178801684,27
82,0.481191562428789,24
64,0.12146683763028732,31
7,0.672603337465635,53
66,0.6484666623300968,3
91,0.8563461278159715,71
65,0.960015226904941,79
27,0.11043475418314375,22
4,0.9664231058886809,72
13,0.4698310914569275,4
55,0.719960244408998,81
68,0.2962603040723525,51
40,0.13588770111743764,49
70,0.16536122794576258,55
2,0.3529856969934623,54
27,0.8659689445017282,41
17,0.18478775366704314,53
35,0.07918864904592582,64
79,0.8814922623118987,79
57,0.26287994057665953,60
66,0.003522966560539742,89
76,0.6391904189184963,1
85,0.07157995467677158,30
58,0.3192883017534134,12
6,0.8898879329406081,66
79,0.4163670291830438,73
28,0.9692895031103251,21
68,0.9465610723308516,47
11,0.6304492656388841,13
93,0.8195316218263857,13
34,0.9776370790236237,34
3,0.6468365295716819,42
83,0.47738270747913714,46
71,0.7282310254499447,68
27,0.40620338039737247,57
47,0.6701235797641161,5
40,0.18159211702623979,50
43,0.6590822409232169,43
83,0.06699719125139303,42
10,0.2866385010806749,62
84,0.20572020927148615,3
2,0.3689954925555937,98
43,0.6713009186751865,71
55,0.6337411928904267,99
72,0.8647830574021595,43
77,0.3707523488758736,18
18,0.7676942102995056,74
22,0.6585489678012396,11
39,0.33311228419184913,77
33,0.5140420207725076,1
3,0.6013630174005228,91
85,0.15558843092619812,27
77,0.02088699315812681,53
7,0.02350822574066569,28
37,0.08605836040808901,10
8,0.41253993892363294,11
32,0.27993131734012866,45
25,0.49112431405378587,83
85,0.5346104255301172,92
34,0.5267100733121979,91
41,0.7780485884043238,29
96,0.8571807300405723,64
92,0.6039949093382141,30
31,0.3070008106489478,91
14,0.7944541848401031,69
9,0.08020319905879059,18
56,0.5414214419622094,42
73,0.0012054107975325579,32
76,0.7779898283445573,6
89,0.8478359206680666,99
72,0.42678099715134676,37
69,0.805261928673047,65
11,0.8552868796117945,25
6,0.8502915463952387,44
23,0.9064243431053095,65
65,0.9394078611301605,19
13,0.6042828246487503,26
75,0.7852765517065252,31
88,0.29773981997908483,20
59,0.23243633433967315,39
52,0.12051625592719806,47
69,0.7079746417348936,43
69,0.36310091784883625,11
91,0.9505098293891888,28
32,0.7546258811023006,83
99,0.4006181587887533,38
64,0.05558811771795957,97
60,0.27403876066183896,81
37,0.9698763041257018,51
77,0.44432094457112303,37
59,0.9859395794682926,11
94,0.41374755796887885,59
31,0.3678532169880959,71
97,0.43121823882296795,12
9,0.00427041111931914,36
37,0.9452152382447906,62
1,0.07634985844921505,89
46,0.6841215635437551,41
40,0.9947809739144696,31
83,0.7728118349461911,93
51,0.17174797675085562,34
38,0.055784873299744464,19
62,0.8317136345595332,77
51,0.17028762660234176,48
57,0.7202504233633273,85
8,0.09522893920195485,14
32,0.6549900211276586,88
57,0.41993956925198583,15
39,0.31132183141388303,57
12,0.5114744333339349,45
14,0.17551639008836584,81
17,0.3153087996608749,76
55,0.6655717591475216,25
27,0.3915370196183994,10
5,0.989327251731039,13
70,0.5115634182777157,51
93,0.26497020641981706,59
65,0.9430645966160667,29
78,0.36069051170274546,86
89,0.802015614649852,32
10,0.44498908712401464,95
76,0.6720528134462322,4
29,0.23555715723860737,68
2,0.9242103155918867,8
32,0.9271638770370054,55
39,0.9995470380902018,78
87,0.3479533469945173,17
58,0.9769846334918886,89
25,0.1059033446214277,67
83,0.9915670993362844,29
31,0.9760864970412164,26
32,0.06963398262745202,55
9,0.819993087838913,27
32,0.1136287539694113,3
72,0.9474337834711716,68
39,0.4818057540639952,78
10,0.5455901219194247,49
88,0.45384405377802817,41
77,0.4060813612289019,6
95,0.9828019907175095,5
18,0.9019098848542645,85
66,0.12244247900672456,93
39,0.5540174551840383,46
74,0.7466351083166143,15
30,0.6080224918624368,95
16,0.3585012681117299,87
18,0.3325507782860677,18
38,0.18111443136027316,55
92,0.23706841743864338,68
15,0.26746910458241613,68
80,0.355245238101664,3
75,0.7216835070297354,96
62,0.029275206675105303,82
60,0.9777772445592227,61
45,0.48408082431096355,87
29,0.9396023662303556,76
92,0.6228481011584546,11
71,0.8102832679624334,18
20,0.41962775159126786,64
55,0.5530148059877936,45
93,0.7521109407263621,1
28,0.3466825453337109,43
29,0.9452578076164148,38
57,0.019287162249704726,75
86,0.332237882468325,90
23,0.0916486022010381,3
1,0.47222974504015813,46
54,0.01099088789259195,6
16,0.9162844006776765,98
69,0.6406385069304226,50
36,0.27729396576831333,13
11,0.22895982165889928,82
82,0.5654612595422183,2
80,0.0035253358074353036,56
94,0.41088656656952194,47
28,0.054028006580752685,92
79,0.16026017696185468,99
21,0.02353948162196373,41
61,0.7064475359349902,55
25,0.8579742065308934,74
61,0.20629108461558687,8
69,0.5376301977396419,52
52,0.21423565608841333,36
63,0.18054343309575094,16
13,0.050480477452546246,79
42,0.8574348976250538,33
90,0.17166347161336049,4
74,0.12026984616975189,60
26,0.057342957890026636,8
34,0.12152977637411877,32
36,0.9198854955320218,86
61,0.20776446393925474,41
15,0.0991179469685931,93
41,0.6315549721301972,7
66,0.2305313860494741,9
83,0.3555180213259521,51
86,0.9499721463656419,68
45,0.8024298691892905,15
45,0.7175582662687613,18
94,0.3520088608066082,23
33,0.7619593211952064,67
70,0.024747478045893834,56
78,0.007891359311670065,80
75,0.7204077103100583,43
71,0.8075009563292319,91
58,0.6685657623975618,14
11,0.38996800210600935,34
1,0.05390651083412468,85
49,0.9430096660513129,78
74,0.9824304133720582,87
51,0.16694471336130434,2
7,0.4428566836806367,31
47,0.8686768536738042,31
45,0.014425327696047652,36
69,0.11113717210071083,65
79,0.09680027319624451,32
2,0.3400103849454934,4
5,0.853516700238512,75
31,0.5126703354746309,22
12,0.9613931275923507,51
49,0.8084543454141236,49
47,0.09513590055035459,35
56,0.024928452838996695,8
94,0.23595432657247195,48
99,0.8759937463779511,87
74,0.8340202494599506,80
44,0.019034926403018737,31
52,0.8355508603905086,98
40,0.698226625846775,15
27,0.8938350239703262,87
96,0.30630756842698925,52
70,0.54443838016765,60
61,0.5818262636216325,79
49,0.8501505167256813,60
83,0.06931592275023035,37
53,0.2699189296353913,82
33,0.9535564153567827,83
35,0.6744476852628776,89
77,0.9955433178163904,74
86,0.18003624598222912,13
61,0.06907352750382811,54
71,0.6540360349880612,6
72,0.06569825951881458,20
56,0.005365838086334507,6
17,0.04536075021315733,47
46,0.3650134697896167,10
97,0.924408605174492,95
31,0.7266154817204761,60
40,0.6363204147877217,2
47,0.7627299968436946,11
41,0.4178103148851241,67
19,0.25085738815504655,21
79,0.7659395654418877,81
62,0.6578500649621841,97
68,0.6971583599142879,5
72,0.763446842868107,79
89,0.7874869581570735,77
40,0.24981147492748135,84
26,0.2566523863626583,55
59,0.12260011081971234,27
45,0.06950445484988366,54
98,0.33280860823522884,45
34,0.05481985124484834,75
86,0.04992174428650842,79
26,0.850540857703995,81
83,0.8332931226130346,96
77,0.20811493934255654,79
26,0.23464336755947401,92
77,0.7544467941059801,70
12,0.6936975657982055,95
44,0.9495794799816092,16
61,0.17048286012371638,62
89,0.27945017158864627,77
5,0.6435687334336149,2
60,0.07217293890152743,43
90,0.3950885289839655,36
16,0.8208959544668266,91
37,0.3990197991067619,91
72,0.8580071170255944,46
1,0.5461093216781476,2
57,0.14053248555941444,74
29,0.8547242952067741,82
42,0.08565244894144797,88
27,0.5370950767431254,32
92,0.44553305458834125,44
12,0.813941309489491,27
10,0.5910616664076725,94
78,0.4559512685158341,1
53,0.051293736262870704,76
93,0.6275227115419396,14
68,0.08726357247957361,47
88,0.987445447063207,77
7,0.95933060694056,82
51,0.6585536673462238,7
42,0.6567373092480506,23
38,0.5509095525569009,71
48,0.6526555871939302,73
35,0.17702248671027276,94
98,0.4987595067640218,31
86,0.9823339658994583,80
56,0.9365074455276431,87
36,0.7991673813547531,75
38,0.9470914488709219,70
54,0.0726631532962051,27
5,0.7873534003933258,8
80,0.6755623152454914,82
8,0.0036201198421811354,83
29,0.24436974760175156,17
56,0.6425595664232666,23
2,0.5122262190459418,52
90,0.024861805436023787,56
68,0.010400408142782203,15
21,0.3067315795155826,93
98,0.5529547205586427,1
62,0.8102479251434522,96
62,0.3382103192519741,8
77,0.44840692429643114,99
11,0.32289594862285753,93
83,0.7904706599342066,92
78,0.3401130278035809,72
58,0.5223602204328116,40
7,0.4033801253745748,62
10,0.5155224671896115,23
87,0.3623069884416048,16
46,0.037955339999014015,37
34,0.8004278507840288,75
33,0.11725163270408734,27
34,0.30647598438746537,8
38,0.9543923453056655,73
53,0.019582934519288497,52
90,0.373746505040487,43
12,0.01711202049804017,25
15,0.9064037531629434,17
64,0.7433621997886879,65
6,0.9692409337475666,76
58,0.03335753992000434,93
66,0.11184613545576716,28
38,0.1367658780588834,42
94,0.26322723541252424,75
68,0.9049272460130944,84
93,0.1882738872344002,35
28,0.3365682611530292,50
46,0.14604403952494582,55
61,0.8939095225672321,92
72,0.8713870285486888,26
37,0.2529266016787288,1
97,0.3808223964375532,10
74,0.19284466062113237,1
32,0.4872944691927894,94
73,0.1690076089565623,64
94,0.12054319966534277,95
99,0.19043891477693675,85
23,0.4116690709298645,40
8,0.4229027279250075,51
89,0.9868743782515634,98
50,0.08896606484585412,70
81,0.13979206592034032,29
21,0.07388998902889987,95
38,0.8101035096573146,42
21,0.5551642832676643,15
63,0.3606442622830601,51
46,0.7498213015319483,87
75,0.15506758083295513,63
13,0.888899994760189,71
36,0.13729625630604414,3
6,0.4376411053149558,48
74,0.5809753083323909,18
37,0.022973700140768716,54
4,0.148803456433379,22
74,0.5219049598120193,50
73,0.5754790687150002,77
36,0.8169683998727272,79
72,0.4256574607030055,76
60,0.08323816571463227,9
7,0.4262595801339696,80
75,0.23890002395793708,64
67,0.9964620556796625,76
2,0.7386326078173766,88
81,0.18983222015279633,60
19,0.4198250333108495,29
76,0.3538256842843488,46
99,0.6303315696726636,91
26,0.6513785752475998,73
79,0.9083733895150261,97
8,0.8066528006380015,79
11,0.568573959258329,90
28,0.6122814907147768,25
75,0.8107244017479064,43
6,0.7601750853681613,52
93,0.09889529132652797,99
22,0.0829267366439681,55
75,0.4763703295964584,35
15,0.700152324926558,13
1,0.27217878889184954,30
29,0.9135154407431763,10
11,0.9780639012286009,53
14,0.7229481787989789,2
25,0.22668637335528474,36
35,0.768832882544392,69
35,0.9379038352297794,88
62,0.5019736349846343,34
38,0.2605273790145217,86
40,0.6525846711104072,31
81,0.37276391964912226,73
66,0.8941241767788604,77
9,0.5726679832104319,51
63,0.06909308059404307,65
66,0.7809463501489432,44
37,0.4944889635532753,32
51,0.6936299217859846,1
48,0.03373810472261296,57
56,0.6648938398988697,69
79,0.8401823777434821,72
27,0.006227905803972367,68
20,0.9241955534169021,99
15,0.755835445603385,37
2,0.570824214326262,23
5,0.892593612360504,36
57,0.5760244676554348,9
4,0.19812287591964362,41
57,0.06924269691549567,13
75,0.11178612127424659,9
67,0.08381063352317653,25
70,0.012592054027368405,60
1,0.5922418078004739,70
