Industry_Date;Inception date;ClassID;ClassName;ClassCurrency;FundID;FundName;ProviderID;ProviderName;ProviderSAM;CategoryCode;CategoryName;FamilyID;FamilyName;sCountryDomicilieId;FundCurrency;sCountrySaleID;CountryDesignation;Index;PeerGroup;bPensionPlan;FirstPeerGroup;CommonPGProvider;FeeManagementValue;FeeManagementFecha;FeeTERValue;FeeTERFecha;FeeOCGValue;FeeOCGValue;FeeKiidOCGValue;FeeKiidOCGFecha;FeePerformanceValue;Periodo;PatrimLocal;PatrimLocalPA;PatrimEuro;PatrimEuroPA;NetFlowsLocal;NetFlowsEuro;ClassNAV;GrossReturn_BMK;GrossReturn_MF;Rank_MF;FundNumber_MF;Ptcl_MF;GrossReturn_DC;Rank_DC;FundNumber_DC;Ptcl_DC
2019-06-04;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061495703;2019-06-04;;;;;;;;MTD;2497941674.0;;3188336.2361166165;;;;32468.2516;;0.0003954373;4;44;7;0.0003281512;38;182;21
2019-06-04;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061495703;2019-06-04;;;;;;;;3M;2497941674.0;;3188336.2361166165;;;;32468.2516;;0.0069696527;2;44;3;0.0058364207;19;182;10
2019-06-04;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061495703;2019-06-04;;;;;;;;6M;2497941674.0;;3188336.2361166165;;;;32468.2516;;0.0150933617;4;44;7;0.0124554;37;176;21
2019-06-04;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061495703;2019-06-04;;;;;;;;YTD;2497941674.0;;3188336.2361166165;;;;32468.2516;;0.0150933617;4;44;7;0.0124554;37;176;21
2019-06-04;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061495703;2019-06-04;;;;;;;;1Y;2497941674.0;;3188336.2361166165;;;;32468.2516;;0.0331682105;4;44;7;0.0268562058;41;162;25
2019-06-11;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061520235;2019-06-11;;;;;;;;MTD;2016176948.0;;2571751.5005910653;;;;32502.4178;;0.0015662116;3;44;5;0.0013807921;16;182;9
2019-06-11;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061520235;2019-06-11;;;;;;;;3M;2016176948.0;;2571751.5005910653;;;;32502.4178;;0.0081481209;3;44;5;0.006894858;18;182;10
2019-06-11;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061520235;2019-06-11;;;;;;;;6M;2016176948.0;;2571751.5005910653;;;;32502.4178;;0.0162813371;4;44;7;0.0135208024;36;176;20
2019-06-11;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061520235;2019-06-11;;;;;;;;YTD;2016176948.0;;2571751.5005910653;;;;32502.4178;;0.0162813371;4;44;7;0.0135208024;36;176;20
2019-06-11;;1852;VISION MONEY MARKET-100;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0061520235;2019-06-11;;;;;;;;1Y;2016176948.0;;2571751.5005910653;;;;32502.4178;;0.0337665104;5;44;10;0.0274520422;42;163;26
2019-06-04;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111786469;2019-06-04;;;;;;;;MTD;2775809604.0;;3543002.799909937;;;;1329.6596;;0.0003954373;4;44;7;0.0002727758;100;182;55
2019-06-04;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111786469;2019-06-04;;;;;;;;3M;2775809604.0;;3543002.799909937;;;;1329.6596;;0.0069696527;2;44;3;0.0049042814;81;182;45
2019-06-04;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111786469;2019-06-04;;;;;;;;6M;2775809604.0;;3543002.799909937;;;;1329.6596;;0.0150933617;4;44;7;0.0102864371;107;176;61
2019-06-04;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111786469;2019-06-04;;;;;;;;YTD;2775809604.0;;3543002.799909937;;;;1329.6596;;0.0150933617;4;44;7;0.0102864371;107;176;61
2019-06-04;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111786469;2019-06-04;;;;;;;;1Y;2775809604.0;;3543002.799909937;;;;1329.6596;;0.0331682105;4;44;7;0.0216838371;102;162;63
2019-06-11;;1853;VISION MONEY MARKET-B;CLP;5293;VISION MONEY MARKET;5;Principal AGF;0;1833;RF Nacional < 90;MM;Money Market;Chile;CLP;Chile;Chile;0;;0;0;1;0.0111773317;2019-06-11;;;;;;;;MTD;2738770990.0;;3493462.4216861036;;;;1330.9299;;0.0015662116;3;44;5;0.0012283937;27;182;15
