Comunidad autónoma,Población,Casos VIH,Incorporado al registro desde su creación
Andalucía,8399618,339,No
Cataluña,7396991,8278,Sí
Madrid,6385298,7410,No
Comunidad Valenciana,4939674,781,No
Galicia,2734656,2033,Sí
Castilla y León,2478079,686,No
País Vasco,2165100,1898,Sí
Canarias,2126144,2639,Sí
Castilla La Mancha,2062767,523,No
Murcia,1463773,533,No
Aragón,1326403,644,No
Islas Baleares,1124972,1802,Sí
Extremadura,1091623,489,Sí
Asturias,1049875,1007,Sí
Navarra,636402,377,Sí
Cantabria,585359,228,No
La Rioja,313569,282,Sí
Ceuta,84692,17,Sí
Melilla,84570,21,No
