Color;Year;Percentage
Silver;2000;17.6
Silver;2001;21
Silver;2002;22.8
Silver;2003;19.6
Silver;2004;18
Silver;2005;18
Silver;2006;19
Silver;2007;18
Silver;2008;17
Silver;2009;16.7
Silver;2010;17
Silver;2011;16
Silver;2012;16
Silver;2013;14
Silver;2014;13
Silver;2015;12
White;2000;17.2
White;2001;16
White;2002;15.2
White;2003;18
White;2004;16
White;2005;17
White;2006;19
White;2007;19
White;2008;20
White;2009;17.8
White;2010;21
White;2011;23
White;2012;24
White;2013;26
White;2014;25
White;2015;27
Black;2000;11.3
Black;2001;11
Black;2002;12
Black;2003;11.4
Black;2004;11
Black;2005;11
Black;2006;13
Black;2007;16
Black;2008;17
Black;2009;17
Black;2010;18
Black;2011;18
Black;2012;19
Black;2013;20
Black;2014;19
Black;2015;20
Blue;2000;8.8
Blue;2001;10
Blue;2002;10.9
Blue;2003;8.4
Blue;2004;11
Blue;2005;12
Blue;2006;11
Blue;2007;12
Blue;2008;13
Blue;2009;12.4
Blue;2010;9
Blue;2011;9
Blue;2012;7
Blue;2013;7
Blue;2014;7
Blue;2015;8
Gray;2000;3.8
Gray;2001;3
Gray;2002;7
Gray;2003;11.2
Gray;2004;10
Gray;2005;15
Gray;2006;13
Gray;2007;12
Gray;2008;12
Gray;2009;13
Gray;2010;15
Gray;2011;13
Gray;2012;15
Gray;2013;13
Gray;2014;13
Gray;2015;14
Red;2000;11.4
Red;2001;11
Red;2002;10.2
Red;2003;11.4
Red;2004;11
Red;2005;11
Red;2006;11
Red;2007;13
Red;2008;11
Red;2009;12
Red;2010;11
Red;2011;10
Red;2012;10
Red;2013;9
Red;2014;12
Red;2015;11
Brown;2000;4.9
Brown;2001;6
Brown;2002;6.4
Brown;2003;8.4
Brown;2004;11
Brown;2005;9
Brown;2006;7
Brown;2007;5
Brown;2008;5
Brown;2009;5.7
Brown;2010;5
Brown;2011;5
Brown;2012;5
Brown;2013;5
Brown;2014;5
Brown;2015;3
Green;2000;8.9
Green;2001;8
Green;2002;5
Green;2003;5
Green;2004;5
Green;2005;4
Green;2006;4
Green;2007;2
Green;2008;3
Green;2009;2.8
Green;2010;2
Green;2011;2
Green;2012;2
Green;2013;2
Green;2014;2
Green;2015;2
Yellow;2000;3.5
Yellow;2001;5
Yellow;2002;0
Yellow;2003;0
Yellow;2004;2
Yellow;2005;2
Yellow;2006;3
Yellow;2007;3
Yellow;2008;2
Yellow;2009;2.3
Yellow;2010;1
Yellow;2011;3
Yellow;2012;2
Yellow;2013;2
Yellow;2014;2
Yellow;2015;2
Other;2000;12.6
Other;2001;9
Other;2002;10.5
Other;2003;6.6
Other;2004;5
Other;2005;1
Other;2006;0
Other;2007;0
Other;2008;0
Other;2009;0.3
Other;2010;1
Other;2011;1
Other;2012;0
Other;2013;2
Other;2014;2
Other;2015;1
